Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10µF","CP_Elec_4x3","55.8800","-85.0900","180.0000","top"
"C2","1µ","C_0603_1608Metric","64.1350","-89.5350","90.0000","top"
"C3","4.7µ","C_0603_1608Metric","57.7850","-93.3450","90.0000","top"
"C4","4.7µ","C_0603_1608Metric","54.6100","-88.9000","180.0000","top"
"J3","JST","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal","60.3250","-100.3300","0.0000","top"
"Q1","BC847","SOT-23","53.9750","-102.8700","270.0000","top"
"R1","2k","R_0603_1608Metric","64.1350","-93.3450","270.0000","top"
"U1","LTC3588EDD-1PBF","MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm_ThermalVias","59.6900","-89.5350","180.0000","top"
"U2","MCP73831-2-OT","SOT-23-5","60.9600","-93.3450","0.0000","top"
