Reference, Quantity, Value, Footprint, Datasheet
A1 ,1,"Sparkfun_Pro_Micro_3V3","Module:Sparkfun_Pro_Micro","https://www.sparkfun.com/products/12587"
A2 ,1,"Arduino_Nano_v3.x","Module:Arduino_Nano_mod","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf"
LOGO1 ,1,"Logo_Open_Hardware_Small","Symbol:OSHW-Symbol_6.7x6mm_SilkScreen",""
TP2 TP1 ,2,"TestPoint","MountingHole:MountingHole_2.7mm","~"
U1 ,1,"Adafruit_HUZZAH32_ESP32_Feather","WING:Adafruit_Feather_mod2",""
U2 ,1,"Adafruit_Feather_HUZZAH_ESP8266","WING:Adafruit_Feather",""
