Comment,Designator,Package,mpn,variant
100n,C2,C_0603_1608Metric,CL10B104KO8NNNC,"3V3, 5V"
100n,C5,C_0603_1608Metric,CL10B104KO8NNNC,
1µ,C6,C_0603_1608Metric,C0603X105K9RACAUTO,
4.7µ,C3,C_0603_1608Metric,CL10A475KO8NNNC,
4.7µ,C7,C_0603_1608Metric,CL10A475KO8NNNC,
10µ,C1,C_0603_1608Metric,CL10A106KP8NNNC,"3V3, 5V"
10µ,C4,C_0603_1608Metric,CL10A106KP8NNNC,
D,D1,D_0603_1608Metric,,"3V3, 5V"
500mA,F1,Fuse_0603_1608Metric,04000025WR,
JST,J1,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,,"3V3, 5V"
SolderJumper_3_Open,JP1,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,,
6.8µ/2A,L1,L_Bourns_SRN6045TA,744787068,
Logo_Open_Hardware_Small,LOGO1,OSHW-Symbol_6.7x6mm_SilkScreen,,
2k,R3,R_0603_1608Metric,0603WAF2001T5E,
200k,R4,R_0603_1608Metric,0603WAF2003T5E,
200k,R8,R_0603_1608Metric,0603WAF2003T5E,
390k,R1,R_0603_1608Metric,0603WAF3903T5E,
390k,R2,R_0603_1608Metric,0603WAF3903T5E,
390k,R6,R_0603_1608Metric,0603WAF3903T5E,
1.1M,R7,R_0603_1608Metric,RM06FTN1104,
2.4M,R5,R_0603_1608Metric,WR06W2404FTL,
MCP73831-2-OT,U1,SOT-23-5,MCP73831T-2ACI/OT,"3V3, 5V"
TPS61090,U2,Texas_S-PVQFN-N16_EP2.7x2.7mm_ThermalVias,TPS61090RSAR,"3V3, 5V"
