Designator,Value,Mid X,Mid Y,Rotation,Layer
"C1","C","63.1190","-103.3780","180.0000","top"
"C2","100n","55.2450","-86.3600","90.0000","top"
"C3","10µ","53.3400","-86.9950","90.0000","top"
"C4","C","53.7210","-103.3780","180.0000","top"
"R1","120","58.4200","-83.8200","0.0000","top"
"U1","MAX3483","58.4200","-93.3450","90.0000","top"
"U2","MAX3051","58.4200","-86.9950","90.0000","top"
"U3","MCP2515-xSO","58.4200","-95.2500","0.0000","top"
"Y1","Crystal","58.4200","-103.3780","0.0000","top"
